Artist,Song Name,Author of Custom (CLICK HERE TO FIND THE FILES)
This Is Not A Game Of Who The Fuck Are You,Take To Your Guns,Xane60
Thomas Lang,Paganini 2.0 [Jos Ankin],SoundHaven
Thomas Pridgen,Drumeo Performance Solo 2014,SoundHaven
Thornhill,Coven,YaBoiBenimaru
Thornhill,Human,YaBoiBenimaru
Thornhill,In My Skin,YaBoiBenimaru
Thornhill,Lily & The Moon,YaBoiBenimaru
Thornhill,Netherplace,YaBoiBenimaru
Thornhill,Nurture,YaBoiBenimaru
Thornhill,Red Summer,YaBoiBenimaru
Thornhill,The Haze,YaBoiBenimaru
Thornhill,View From The Sun,YaBoiBenimaru
Thornhill ,Joy,YaBoiBenimaru
Thornhill ,Lavender,YaBoiBenimaru
Thornhill ,Parasite,YaBoiBenimaru
Thornhill ,My Design,YaBoiBenimaru
Thornhill ,Reptile,YaBoiBenimaru
Thornhill ,Sunflower,YaBoiBenimaru
Thornhill ,Limbo,YaBoiBenimaru
Threat Signal ,Resistance,Confury
Threat Signal ,Death Before Dishonor,Confury
Threat Signal ,Buried Alive,Confury
Threat Signal ,Uncensored,Confury
Threat Signal ,New World Order,Confury
Threat Signal ,Comatose,Confury
Threat Signal ,Trust in None,Confury
Threat Signal ,Face the Day,Confury
Threat Signal ,Fallen Disciples,Confury
Threat Signal ,Disposition,Confury
Thy Art Is Murder,Infinite Death,SoundHaven
Thy Art Is Murder,Reign Of Darkness,SoundHaven
Thy Art Is Murder,Whore to a Chainsaw,SoundHaven
Thy Art Is Murder,Soldiers Of Immortality ,SoundHaven
Thy Art Is Murder,Breeding Bacteria,SoundHaven
Thy Art Is Murder,Slaves Beyond Death,Xane60
Thy Art Is Murder,The Son Of Misery,Xane60
Thy Art Is Murder,Dead Sun,Xane60
Thy Art Is Murder,They Will Know Another,Xane60
Thy Art Is Murder,I'll Show You God,SoundHaven
Thy Art Is Murder,Parasitic Autopsy,SoundHaven
Tilian ,Holy Water,Boo
Tool ,Rosetta Stoned,Onyxite
Tool ,Parabola,Grinnz
Tool ,Schism,Grinnz
Tool ,The Grudge,Grinnz
Tool ,Ticks & Leeches,Grinnz
Tool ,Vicarious,Grinnz
Tool ,Pneuma ,Inventor211
Tool ,Anema,Grinnz
Tool ,Chocolate Chip Trip,Grinnz
Tool ,Fear Inoculum,Grinnz
Tool ,Forty Six & 2,Grinnz
Tool ,Jambi,Grinnz
Tool ,Lateralus,Grinnz
Tormented Brutality,Retribution of the Tortured,Onyxite
Tormented Brutality,Dominate,Onyxite
Tormented Brutality,Of Lies and Deception,Onyxite
Tormented Brutality,Destroy the Enemy,Onyxite
Tormented Brutality,Winds of Destiny,Onyxite
Tormented Brutality,Beyond the Gallows of Hatred,Onyxite
Travis Orbin,Unleash The Pwnies,SoundHaven
Travis Orbin,The Dillinger Escape Plan Medley,SoundHaven
Travis Orbin,Mega Man 2 Medley,SoundHaven
Travis Orbin,Time's Up,Xane60
Travis Orbin,Roughhouse,Xane60
Travis Orbin,Demassify,Xane60
Travis Orbin,Buttery Follicles,Xane60
Travis Orbin,Whaddya Want From Me?,Xane60
Travis Orbin,Without Fear [I Am King],SoundHaven
Travis Orbin,Zyglrox [Bulb],SoundHaven
Travis Orbin,Dr. Jackle/Dr. Jekyll [Miles Davis],SoundHaven
Travis Orbin,Blame Session - III (Instrumental) [Blame],SoundHaven
Travis Orbin ,Rockwell C (Pete Peterson),Xane60
Trioscapes,Blast Off,Onyxite
Trioscapes,Stab Wounds,Onyxite
Trioscapes,Digital Dream Sequence,Onyxite
Trioscapes,From the Earth to the Moon,Onyxite
Trioscapes,Celestial Terrestrial Commuters,Onyxite
Trioscapes,Hysteria,Onyxite
Trioscapes ,The Jungle,Onyxite
Trivium ,Shattering The Skies Above,Xane60
Trivium ,The Sin and the Sentence ,Inventor211
Trivium ,Detonation,Boo
Troy Wright,Koloss Album Medley [Meshuggah],SoundHaven
Twelve Foot Ninja ,Monsoon,Boo
Twelve Foot Ninja ,Over and Out (feat. Tatiana Shmayluk) ,SoundHaven
Tyr ,All Heroes Fall,YaBoiBenimaru
Tyr ,Gates of Hel,YaBoiBenimaru
Tzan Niko,Tzan-O-Matic / Lunchroom Hoedown,Boo
Ulcerate,Stare into Death and Be Still,LillianOfficial 
Ulcerate,The Lifeless Advance,YaBoiBenimaru
Ulcerate,Exhale The Ash,YaBoiBenimaru
Ulcerate,Inversion,YaBoiBenimaru
Ulcerate,There Is No Horizon,YaBoiBenimaru
Ulcerate,Visceral Ends,YaBoiBenimaru
Ulcerate,Drawn Into The Next Void,YaBoiBenimaru
Ulcerate,Dissolved Orders,YaBoiBenimaru
Umraan Syed ,Figureheads,Moochalacho
Unbirth ,Fleshforged Columns of Deceit,LillianOfficial
Uncle Moe's Space Ranch,I Want A Pine Cone,Onyxite
Undead Corporation ,Everything Will Freeze,Xane60
Unfathomable Ruination ,An Obsidian Perception,LillianOfficial 
Unfathomable Ruination ,Occulta Violentiam,LillianOfficial
Unflesh ,Amongst Horrors Must I Dwell,LillianOfficial
UNISON SQUARE GARDEN ,Sugar Song to Bitter Step,YaBoiBenimaru
Unprocessed ,Artifical Void,SoundHaven
Vader,Shadowfear,Inventor211
Vale Of Pnath,Klendathu,Xane60
Vale Of Pnath,The Serpent's Lair,Xane60
Vale Of Pnath,The Darkest Gate,Xane60
Vale Of Pnath,Accursed,Xane60
Vale Of Pnath,Unburied,Xane60
Vale Of Pnath,Obsidian Realm,Xane60
Vale Of Pnath,Spectre of Bone,Xane60
Vale Of Pnath,Skin Turned Soil,Xane60
Vale Of Pnath,Reaver,Xane60
Vale Of Pnath,Blacker Than,Xane60
Vale Of Pnath,The Horror in Clay ,SoundHaven
Vale Of Pnath ,A Nightmare Phantasm,Xane60
Vale Of Pnath ,Heart Of Darkness,Xane60
Vale Of Pnath ,The Prodigal Empire,Xane60
Van Halen,Hot For Teacher,Grinnz
Varials,Colder Brother,SoundHaven
Veil Of Maya,All Eyes Look Ahead,Xane60
Veil Of Maya,Codex (Sam Applebaum Drum Playthrough) ,SoundHaven
Veil Of Maya,Conquer,SoundHaven
Veil Of Maya,Dark Passenger,SoundHaven
Veil Of Maya,Divide Paths,SoundHaven
Veil Of Maya,It's Not Safe To Swim Today,Xane60
Veil Of Maya,Namaste,SoundHaven
Veil Of Maya,Punisher,SoundHaven
Veil Of Maya,Resistance,SoundHaven
Veil Of Maya,Subject Zero,SoundHaven
Veil Of Maya,Teleute,SoundHaven
Veil Of Maya,The Higler,SoundHaven
Veil Of Maya,Winter Is Coming Soon,SoundHaven
Veil Of Maya,Outsider,SoundHaven
Veil Of Maya,Vicious Circles,Moochalacho
Vein.fm,Errorzone (Full Album) ,RhythMassacre
Vein.fm,Ripple+,RhythMassacre
Vein.fm,Heretic+,RhythMassacre
Vein.fm,TR+,RhythMassacre
Vein.fm,The Killing Womb,RhythMassacre
Vektor,Charging The Void,Inventor211 
Vektor,Outer Isolation,Xane60
Vektor ,Pillars of Sand,Inventor211
Vektor ,Dead by Dawn,Miscellany 
Vektor ,LCD (Liquid Crystal Disease),Inventor211
Venetian Snares,Sikertelenseg/Szerencstlen,TheLieInKing
Venetian Snares,Hand Throw,TheLieInKing
Venetian Snares,Dance Like You're Selling Nails,TheLieInKing
Venetian Snares,Szamar Madar,TheLieInKing
Vermicide Violence ,Coronaviscerated,SoundHaven
Vildhjarta,Eternal Golden Monk (Buster Odeholm Drum Playthough),SoundHaven
Vildhjarta,Dagger (Buster Odeholm Drum Playthrough) ,SoundHaven
Vildhjarta ,den helige anden (under vatten),SoundHaven
Vildhjarta ,när de du älskar kommer tillbaka från de döda,SoundHaven
Vildhjarta ,kaos2,SoundHaven
Vildhjarta ,toxin ,SoundHaven
Vildhjarta ,penny royal poison ,SoundHaven
Vildhjarta ,heartsmear,SoundHaven
Vildhjarta ,Mist forstandet - forte,SoundHaven
Vildhjarta ,Nojja - forte,SoundHaven
Viraemia,Cancrum Oris,Xane60
Viraemia,Pit Of Pestilence,Xane60
Virvum,Illuminance (Full Album) ,Xane60
Vitalism ,Ayahuasca,Boo
VOLA,Stray The Skies,YaBoiBenimaru
VOLA,Starburn,YaBoiBenimaru
VOLA,Owls,YaBoiBenimaru
VOLA,Inmazes,YaBoiBenimaru
VOLA,Gutter Moon,YaBoiBenimaru
VOLA,Feed The Creatures,YaBoiBenimaru
VOLA,A Stare Without Eyes,YaBoiBenimaru
VOLA,Head Mounted Sideways,YaBoiBenimaru
VOLA,Straight Lines,YaBoiBenimaru
VOLA,The Same War,YaBoiBenimaru
VOLA,Your Mind Is A Helpless Dreamer,YaBoiBenimaru
VOLA,24 Light-Years,YaBoiBenimaru
VOLA ,Straight Lines,YaBoiBenimaru
Von Citizen ,Flint,Boo
Von Citizen ,Light Stream,Boo
Von Citizen ,Turritopsis,Boo
Von Citizen ,Petrichor,Boo
Von Citizen ,Bliss,Boo
Von Citizen ,Pitchblack,Boo
Von Citizen ,6:00 PM,Boo
Vulvodynia ,The Shadowy Descent of Gaia,SoundHaven
Wanja Gröger ,Buried by Time and Dust [1349] ,SoundHaven
War From A Harlot's Mouth,Terrifier (Paul Seidel Drum Playthrough),SoundHaven
War From A Harlot's Mouth,To The Villains (Paul Seidel Drum Playthrough),SoundHaven
Wardrum ,The Messenger,Xane60
We Butter the Bread with Butter,Extrem,SoundHaven
We Butter the Bread with Butter,Mans Not Hot [Big Shaq] ,Xane60
Whitechapel,Lost Boy,Confury
Whitechapel ,Hate Creation (Ben Harclerode Drum Playthrough) ,SoundHaven
Whitechapel ,Section 8 (Ben Harclerode Drum Playthrough) ,SoundHaven
Whitechapel ,The Darkest Day Of Man,SoundHaven
Whitechapel ,The Saw Is The Law,SoundHaven
Whitechapel ,Daemon (The Procreated),SoundHaven
Whitechapel ,This Is Exile,Grinnz
Wide Eyes,Demarcation,Xane60
Wilfred Ho,Leeloo [Veil Of Maya],SoundHaven
Wilfred Ho,Mikasa [Veil Of Maya],SoundHaven
Wilfred Ho,It Won't Kill Ya [The Chainsmokers],SoundHaven
Wilfred Ho,Light,SoundHaven
Wilfred Ho,False Mechanism,SoundHaven
Wilfred Ho,Language I: Intuition [The Contortionist],Xane60
Wintersun,Winter Madness,Xane60
Within Destruction,Torture Ritual,SoundHaven
Within Destruction,Plague Of Immortality ,Xane60
Within Destruction,D E A T H W I S H,SoundHaven
Within Destruction,Malevolent,SoundHaven
Within Destruction,No Way Out,Moochalacho
Within The Ruins ,Feast Or Famine,Xane60
Wormed,Pseudo-Horizon,LillianOfficial
Wretched,Birthing Sloth,Xane60
Wretched,Cimmerian Shamballa,Xane60
Wretched,Dilated Disappointment ,Xane60
Writhen,Hexing Ritual,Xane60
Wrvth,Malaise,Xane60
Wrvth,Lured By Knaves,Xane60
Wrvth,Forlorn,Xane60
Wrvth ,Amber Glow,YaBoiBenimaru
Wrvth ,Ongoing Dissension,YaBoiBenimaru
Wrvth ,Looming Sigils,YaBoiBenimaru
Wrvth ,Larkspur,YaBoiBenimaru
Wrvth ,Into Bloom,YaBoiBenimaru
Wrvth ,Harrowing Winds,YaBoiBenimaru
Wrvth ,Endless Haze,YaBoiBenimaru
Wrvth ,Cease to Exist,YaBoiBenimaru
X Japan ,Stab Me In The Back,Xane60
X Japan ,Silent Jealousy,Xane60
Xane60,Cudi Montage [Kids See Ghosts],Xane60
Xane60,Aids Pt. 2 (The Playable Sessions),Xane60
Xane60,Aids #1,Xane60
Xane60,230 (The Tempo Is Actually 200),Xane60
Xane60,Aids '18,Xane60
Xane60,Break The Bank [ScHoolboy Q],Xane60
Xane60,Cadillactica [Big K.R.I.T],Xane60
Xane60,Centipede [Knife Party],Xane60
Xane60,Cooking By The Book (Lil' Bigger Mix) [Lil Jon],Xane60
Xane60,Diamonds From Sierra Leone [Kanye West],Xane60
Xane60,Follow God [Kanye West] ,Xane60
Xane60,Gerudo Valley [Koji Kondo],Xane60
Xane60,Hell Of A Life [Kanye West],Xane60
Xane60,Homecoming [Kanye West],Xane60
Xane60,K.K. Metal [Nintendo],Xane60
Xane60,Lift Yourself [Kanye West],Xane60
Xane60,Monster [Kanye West],Xane60
Xane60,My Favorite Things [OutKast],Xane60
Xane60,Niggas In Paris [Kanye West],Xane60
Xane60,Paranoid [Kanye West],Xane60
Xane60,POWER (Kanye West),Xane60
Xane60,Purity Shards [Iglooghost],Xane60
Xane60,Runaway [Kanye West],Xane60
Xane60,Shop Theme [Koji Kondo],Xane60
Xane60,Spread [OutKast],Xane60
Xane60,Take Ü There (Missy Elliott Remix) [Jack Ü],Xane60
Xane60,The Temple Of Hate [Angra],Xane60
Xane60,The Way You Move [OutKast],Xane60
Xane60,Winds Of Destination [Angra],Xane60
Xane60,Emerald Sword (Drum Cover) [Rhapsody],Xane60
Xane60,Pathway To The Moon (Drum Cover) [Pathfinder],Xane60
Xane60,The Demon Awakens (Drum Cover) [Pathfinder],Xane60
Xane60,Road Of Resistance [Babymetal],Xane60
Xane60 ,Fade [Kanye West],Xane60
Xane60 ,Wisdom Of The Kings (Drum Cover) [Rhapsody],Xane60
Xane60 ,Land Of Immortals (Drum Cover) [Rhapsody],Xane60
Xane60 ,4th Dimension [Kids See Ghosts],Xane60 
Xane60 ,Promiscuous [Nelly Furtado],Xane60 
Xane60 ,Amore [Babymetal],Xane60
Xane60 ,Arkadia [Babymetal],Xane60
Xane60 ,Man Of The Year [ScHoolboy Q],Xane60 
Xane60 ,Talk About It [Dr Dre],Xane60 
Xane60 ,Issues [Dr Dre],Xane60 
Xane60 ,Speedom [Tech N9ne] (feat. SoundHaven & Lethallasagna),"Xane60, SoundHaven & LethalLasagna"
Xane60 ,Godzilla [Eminem],Xane60
Xane60 ,Megalomania [Undead Corporation],Xane60
Xane60 ,Praise God (Kanye West),Xane60 
Xane60 ,God Breathed (Kanye West),Xane60 
Xane60 ,All Day (Kanye West),Xane60 
Xane60 ,New God Flow (Kanye West),Xane60 
Xane60 ,Bittersweet Poetry (Kanye West),Xane60 
Xane60 ,Christmas In Harlem (Kanye West),Xane60 
Xane60 ,Ain't It Funny (Danny Brown),Xane60 
Xane60 ,"Who Dat Boy (Tyler, The Creator)",Xane60 
Xane60 ,Thunderhorse (Dethklok),Xane60 
Xane60 ,4evaNaDay (Big K.R.I.T.),Xane60 
Xane60 ,"Eazy (The Game, Kanye West)",Xane60 
Xane60 ,Defender (As I Lay Dying),Xane60 
Xane60 ,Don't Stop! (Child Rebel Soldier),Xane60 
Xane60 ,Six (All That Remains),Xane60 
Xane60 ,I'm In It (Kanye West),Xane60 
Xane60 ,White Dress (Kanye West),Xane60 
Xane60 & LethalLasagna ,We Major [Kanye West],Xane60 & LethalLasagna 
Xane60 & LethalLasagna ,Off The Grid (Kanye West),Xane60 & LethalLasagna 
Xane60 & SoundHaven,Bug Thief [Iglooghost],Xane60 & SoundHaven
Xane60 & SoundHaven,Look At Me [XXXTentacion],Xane60 & SoundHaven
Xane60 & SoundHaven,Flamingo [Kero Kero Bonito],Xane60 & SoundHaven
Xanthochroid,Of Gods Bereft Of Grace,Xane60
Xanthochroid,The Sound Which Has No Name,Xane60
Xanthochroid,Of Strength And The Lust For Power,Xane60
Xanthochroid,Blessed He With Boils,Xane60
Xanthochroid,Rebirth Of An Old Nation,Xane60
Xanthochroid,In Putris Stagnum,Xane60
Xanthochroid,The Leper's Prospect,Xane60
Xanthochroid,The Last Relic Of Axen,Xane60
Xanthochroid,Toward Truth And Reconciliation,Xane60
Xanthochroid,To Higher Climes Where Few Might Stand,Xane60
Xanthochroid,"Walk With Me, O Winged Mother",Xane60
Xanthochroid,Through Chains That Drag Us Downward,Xane60
Xanthochroid,The Sound Of Hunger Rises,Xane60
Xanthochroid,"Of Aching, Empty Pain",Xane60
Xanthochroid ,Of Erthe And Axen Act II (Album),Xane60
Xanthochroid ,Of Erthe And Axen Act I (Album),Xane60
Xanthochroid ,Long Live Our Lifeless King,Xane60
Yoink,Spirit Bomb,GanonMetroid
Youngblood Brass Band,Brooklyn,Onyxite
Yowie,The Reason Your House Is Haunted Can Be Found on This Microfiche,GanonMetroid
Yowie,Mysterium Tremendum,GanonMetroid
Yowie,Ineffable Dolphin Communion ,GanonMetroid
Yowie,The Fourth Wall Will Not Protect You,GanonMetroid
Yowie,Absurdly Ineffective Barrier,GanonMetroid
Zedd,Find You (Zedd Drum Playthrough),HopH20
